"nome","resumo","coordenador"
"LABORATÓRIO DE ESTUDOS EM TEORIA POLÍTICA","Em breve este conteúdo estará disponível.","Bernardo Medeiros Ferreira Da Silva "
"APRENDER ENSINANDO: RELAÇÕES INTERNACIONAIS POR MEIO DO ESTUDO ATIVO","Em breve este conteúdo estará disponível.","Paulo Afonso Monteiro Velasco Júnior "
"MONITORIA DA DISCIPLINA DE ECONOMIA POLÍTICA INTERNACIONAL I","Em breve este conteúdo estará disponível.","Renan Holanda Montenegro "
"TEORIA POLÍTICA MODERNA: MODALIDADES DE TEXTOS E PRÁTICAS DE LEITURA","Em breve este conteúdo estará disponível.","Roberta Soromenho Nicolete "
